"L1","child_path","chord_HTML","chord_ID","probability"
"1","","","","",""
"2","1","1","I","1","0.154"
"3","2","4","IV","4","0.148"
"4","3","5","V","5","0.14"
"5","4","6","vi","6","0.138"
"6","5","2","ii","2","0.047"
"7","6","3","iii","3","0.033"
"8","7","27","ii<sup>7</sup>","27","0.02"
"9","8","47","IV<sup>7</sup>","47","0.017"
"10","9","16","I<sup>6</sup>","16","0.017"
"11","10","67","vi<sup>7</sup>","67","0.016"
"12","11","56","V<sup>6</sup>","56","0.015"
"13","12","5/6","V/vi","5/6","0.013"
"14","13","b7","&#9837;VII","b7","0.012"
"15","14","164","I<sup>6</sup><sub>4</sub>","164","0.012"
"16","15","57","V<sup>7</sup>","57","0.011"
"17","16","37","iii<sup>7</sup>","37","0.011"
"18","17","5/5","V/V","5/5","0.007"
"19","18","464","IV<sup>6</sup><sub>4</sub>","464","0.006"
"20","19","17","I<sup>7</sup>","17","0.006"
"21","20","664","vi<sup>6</sup><sub>4</sub>","664","0.006"
"22","21","564","V<sup>6</sup><sub>4</sub>","564","0.006"
"23","22","46","IV<sup>6</sup>","46","0.006"
"24","23","57/6","V<sup>7</sup>/vi","57/6","0.006"
"25","24","642","vi<sup>4</sup><sub>2</sub>","642","0.004"
"26","25","36","iii<sup>6</sup>","36","0.004"
"27","26","66","vi<sup>6</sup>","66","0.004"
"28","27","b6","&#9837;VI","b6","0.004"
"29","28","b3","&#9837;III","b3","0.004"
