"L1","child_path","chord_HTML","chord_ID","probability"
"1","","","","",""
"2","1","1,4,1","I","1","0.338"
"3","2","1,4,5","V","5","0.279"
"4","3","1,4,6","vi","6","0.115"
"5","4","1,4,2","ii","2","0.049"
"6","5","1,4,16","I<sup>6</sup>","16","0.026"
"7","6","1,4,3","iii","3","0.023"
"8","7","1,4,b7","&#9837;VII","b7","0.02"
"9","8","1,4,5/6","V/vi","5/6","0.014"
"10","9","1,4,27","ii<sup>7</sup>","27","0.011"
"11","10","1,4,7/5","vii&deg;/V","7/5","0.007"
"12","11","1,4,b3","&#9837;III","b3","0.007"
"13","12","1,4,47","IV<sup>7</sup>","47","0.007"
"14","13","1,4,b6","&#9837;VI","b6","0.005"
"15","14","1,4,57","V<sup>7</sup>","57","0.005"
"16","15","1,4,56","V<sup>6</sup>","56","0.005"
"17","16","1,4,442","IV<sup>4</sup><sub>2</sub>","442","0.005"
"18","17","1,4,b4","iv","b4","0.005"
"19","18","1,4,542","V<sup>4</sup><sub>2</sub>","542","0.004"
"20","19","1,4,164","I<sup>6</sup><sub>4</sub>","164","0.004"
"21","20","1,4,5/5","V/V","5/5","0.004"
"22","21","1,4,7","vii&deg;","7","0.004"
"23","22","1,4,46","IV<sup>6</sup>","46","0.004"
"24","23","1,4,67","vi<sup>7</sup>","67","0.004"
"25","24","1,4,564","V<sup>6</sup><sub>4</sub>","564","0.003"
"26","25","1,4,464/4","IV<sup>6</sup><sub>4</sub>/IV","464/4","0.003"
"27","26","1,4,77","vii<sup>ø</sup><sup>7</sup>","77","0.003"
"28","27","1,4,564/6","V<sup>6</sup><sub>4</sub>/vi","564/6","0.002"
"29","28","1,4,L4","&#9839;iv&deg;","L4","0.002"
"30","1","1,5,6","vi","6","0.354"
"31","2","1,5,4","IV","4","0.238"
"32","3","1,5,1","I","1","0.137"
"33","4","1,5,2","ii","2","0.101"
"34","5","1,5,67","vi<sup>7</sup>","67","0.017"
"35","6","1,5,b7","&#9837;VII","b7","0.015"
"36","7","1,5,56","V<sup>6</sup>","56","0.014"
"37","8","1,5,3","iii","3","0.014"
"38","9","1,5,5/5","V/V","5/5","0.014"
"39","10","1,5,5/6","V/vi","5/6","0.009"
"40","11","1,5,27","ii<sup>7</sup>","27","0.007"
"41","12","1,5,564","V<sup>6</sup><sub>4</sub>","564","0.007"
"42","13","1,5,57","V<sup>7</sup>","57","0.007"
"43","14","1,5,164","I<sup>6</sup><sub>4</sub>","164","0.006"
"44","15","1,5,542","V<sup>4</sup><sub>2</sub>","542","0.005"
"45","16","1,5,47","IV<sup>7</sup>","47","0.004"
"46","17","1,5,5/3","V/iii","5/3","0.003"
"47","18","1,5,16","I<sup>6</sup>","16","0.003"
"48","19","1,5,56/6","V<sup>6</sup>/vi","56/6","0.003"
"49","20","1,5,464","IV<sup>6</sup><sub>4</sub>","464","0.002"
"50","21","1,5,b6","&#9837;VI","b6","0.002"
"51","22","1,5,46","IV<sup>6</sup>","46","0.002"
"52","23","1,5,57/6","V<sup>7</sup>/vi","57/6","0.002"
"53","24","1,5,664","vi<sup>6</sup><sub>4</sub>","664","0.002"
"54","25","1,5,7/6","vii&deg;/vi","7/6","0.001"
"55","26","1,5,37","iii<sup>7</sup>","37","0.001"
"56","27","1,5,265","ii<sup>6</sup><sub>5</sub>","265","0.001"
"57","1","1,6,4","IV","4","0.335"
"58","2","1,6,5","V","5","0.209"
"59","3","1,6,1","I","1","0.104"
"60","4","1,6,3","iii","3","0.098"
"61","5","1,6,2","ii","2","0.083"
"62","6","1,6,5/6","V/vi","5/6","0.024"
"63","7","1,6,27","ii<sup>7</sup>","27","0.021"
"64","8","1,6,56","V<sup>6</sup>","56","0.014"
"65","9","1,6,5/5","V/V","5/5","0.012"
"66","10","1,6,26","ii<sup>6</sup>","26","0.009"
"67","11","1,6,b7","&#9837;VII","b7","0.007"
"68","12","1,6,642","vi<sup>4</sup><sub>2</sub>","642","0.006"
"69","13","1,6,57/5","V<sup>7</sup>/V","57/5","0.005"
"70","14","1,6,265","ii<sup>6</sup><sub>5</sub>","265","0.004"
"71","15","1,6,47","IV<sup>7</sup>","47","0.004"
"72","16","1,6,16","I<sup>6</sup>","16","0.004"
"73","17","1,6,b4","iv","b4","0.004"
"74","18","1,6,56/5","V<sup>6</sup>/V","56/5","0.003"
"75","19","1,6,57/4","V<sup>7</sup>/IV","57/4","0.003"
"76","20","1,6,164","I<sup>6</sup><sub>4</sub>","164","0.003"
"77","21","1,6,264","ii<sup>6</sup><sub>4</sub>","264","0.003"
"78","22","1,6,57","V<sup>7</sup>","57","0.003"
"79","23","1,6,b3","&#9837;III","b3","0.002"
"80","24","1,6,243","ii<sup>4</sup><sub>3</sub>","243","0.002"
"81","25","1,6,D47","IVb7","D47","0.002"
"82","26","1,6,565/6","V<sup>6</sup><sub>5</sub>/vi","565/6","0.001"
"83","27","1,6,142","I<sup>4</sup><sub>2</sub>","142","0.001"
"84","1","1,2,6","vi","6","0.263"
"85","2","1,2,4","IV","4","0.193"
"86","3","1,2,3","iii","3","0.14"
"87","4","1,2,5","V","5","0.104"
"88","5","1,2,1","I","1","0.092"
"89","6","1,2,16","I<sup>6</sup>","16","0.055"
"90","7","1,2,5/6","V/vi","5/6","0.033"
"91","8","1,2,b7","&#9837;VII","b7","0.026"
"92","9","1,2,26","ii<sup>6</sup>","26","0.014"
"93","10","1,2,66","vi<sup>6</sup>","66","0.01"
"94","11","1,2,47","IV<sup>7</sup>","47","0.006"
"95","12","1,2,564","V<sup>6</sup><sub>4</sub>","564","0.005"
"96","13","1,2,7/3","vii&deg;/iii","7/3","0.004"
"97","14","1,2,57","V<sup>7</sup>","57","0.003"
"98","15","1,2,17","I<sup>7</sup>","17","0.003"
"99","16","1,2,b16","i<sup>6</sup>","b16","0.003"
"100","17","1,2,464","IV<sup>6</sup><sub>4</sub>","464","0.003"
"101","18","1,2,D3","&#9837;III","D3","0.003"
"102","19","1,2,b3","&#9837;III","b3","0.003"
"103","20","1,2,242","ii<sup>4</sup><sub>2</sub>","242","0.003"
"104","21","1,2,b5","v","b5","0.003"
"105","22","1,2,b4","iv","b4","0.003"
"106","23","1,2,56","V<sup>6</sup>","56","0.003"
"107","24","1,2,67","vi<sup>7</sup>","67","0.001"
"108","25","1,2,57/3","V<sup>7</sup>/iii","57/3","0.001"
"109","26","1,2,5/2","V/ii","5/2","0.001"
"110","1","1,3,6","vi","6","0.357"
"111","2","1,3,4","IV","4","0.296"
"112","3","1,3,1","I","1","0.067"
"113","4","1,3,5","V","5","0.06"
"114","5","1,3,2","ii","2","0.049"
"115","6","1,3,5/5","V/V","5/5","0.035"
"116","7","1,3,67","vi<sup>7</sup>","67","0.03"
"117","8","1,3,27","ii<sup>7</sup>","27","0.019"
"118","9","1,3,D47","IVb7","D47","0.011"
"119","10","1,3,b7","&#9837;VII","b7","0.01"
"120","11","1,3,36","iii<sup>6</sup>","36","0.01"
"121","12","1,3,56/5","V<sup>6</sup>/V","56/5","0.008"
"122","13","1,3,C3","&#9837;iii","C3","0.007"
"123","14","1,3,342","iii<sup>4</sup><sub>2</sub>","342","0.004"
"124","15","1,3,57","V<sup>7</sup>","57","0.004"
"125","16","1,3,565/4","V<sup>6</sup><sub>5</sub>/IV","565/4","0.004"
"126","17","1,3,47","IV<sup>7</sup>","47","0.004"
"127","18","1,3,37","iii<sup>7</sup>","37","0.003"
"128","19","1,3,465","IV<sup>6</sup><sub>5</sub>","465","0.002"
"129","20","1,3,b4","iv","b4","0.001"
"130","1","1,27,16","I<sup>6</sup>","16","0.353"
"131","2","1,27,1","I","1","0.091"
"132","3","1,27,4","IV","4","0.081"
"133","4","1,27,5","V","5","0.074"
"134","5","1,27,2","ii","2","0.048"
"135","6","1,27,6","vi","6","0.043"
"136","7","1,27,3","iii","3","0.043"
"137","8","1,27,37","iii<sup>7</sup>","37","0.041"
"138","9","1,27,57","V<sup>7</sup>","57","0.03"
"139","10","1,27,5/6","V/vi","5/6","0.028"
"140","11","1,27,57/6","V<sup>7</sup>/vi","57/6","0.013"
"141","12","1,27,67","vi<sup>7</sup>","67","0.01"
"142","13","1,27,164","I<sup>6</sup><sub>4</sub>","164","0.01"
"143","14","1,27,L7","vii","L7","0.01"
"144","15","1,27,643","vi<sup>4</sup><sub>3</sub>","643","0.01"
"145","16","1,27,7/5","vii&deg;/V","7/5","0.01"
"146","17","1,27,Y2","&#9837;II","Y2","0.005"
"147","18","1,27,47","IV<sup>7</sup>","47","0.005"
"148","19","1,27,564","V<sup>6</sup><sub>4</sub>","564","0.005"
"149","1","1,47,5","V","5","0.465"
"150","2","1,47,37","iii<sup>7</sup>","37","0.067"
"151","3","1,47,3","iii","3","0.054"
"152","4","1,47,2","ii","2","0.05"
"153","5","1,47,6","vi","6","0.05"
"154","6","1,47,27","ii<sup>7</sup>","27","0.04"
"155","7","1,47,16","I<sup>6</sup>","16","0.04"
"156","8","1,47,56","V<sup>6</sup>","56","0.04"
"157","9","1,47,57/6","V<sup>7</sup>/vi","57/6","0.027"
"158","10","1,47,1","I","1","0.027"
"159","11","1,47,67","vi<sup>7</sup>","67","0.027"
"160","12","1,47,77","vii<sup>ø</sup><sup>7</sup>","77","0.023"
"161","13","1,47,365","iii<sup>6</sup><sub>5</sub>","365","0.013"
"162","14","1,47,5/5","V/V","5/5","0.013"
"163","15","1,47,7","vii&deg;","7","0.01"
"164","16","1,47,57/5","V<sup>7</sup>/V","57/5","0.007"
"165","17","1,47,b47","iv<sup>7</sup>","b47","0.007"
"166","1","1,16,4","IV","4","0.531"
"167","2","1,16,1","I","1","0.089"
"168","3","1,16,164","I<sup>6</sup><sub>4</sub>","164","0.069"
"169","4","1,16,47","IV<sup>7</sup>","47","0.05"
"170","5","1,16,5","V","5","0.05"
"171","6","1,16,2","ii","2","0.037"
"172","7","1,16,464/4","IV<sup>6</sup><sub>4</sub>/IV","464/4","0.02"
"173","8","1,16,543","V<sup>4</sup><sub>3</sub>","543","0.02"
"174","9","1,16,27","ii<sup>7</sup>","27","0.02"
"175","10","1,16,b7","&#9837;VII","b7","0.02"
"176","11","1,16,26","ii<sup>6</sup>","26","0.01"
"177","12","1,16,b47","iv<sup>7</sup>","b47","0.01"
"178","13","1,16,564","V<sup>6</sup><sub>4</sub>","564","0.01"
"179","14","1,16,5/6","V/vi","5/6","0.01"
"180","15","1,16,3","iii","3","0.01"
"181","16","1,16,77/5","vii<sup>ø</sup><sup>7</sup>/V","77/5","0.005"
"182","1","1,67,5","V","5","0.272"
"183","2","1,67,4","IV","4","0.155"
"184","3","1,67,27","ii<sup>7</sup>","27","0.112"
"185","4","1,67,37","iii<sup>7</sup>","37","0.068"
"186","5","1,67,3","iii","3","0.053"
"187","6","1,67,47","IV<sup>7</sup>","47","0.039"
"188","7","1,67,57/5","V<sup>7</sup>/V","57/5","0.029"
"189","8","1,67,D67","vi<sup>ø</sup><sup>7</sup>","D67","0.019"
"190","9","1,67,642","vi<sup>4</sup><sub>2</sub>","642","0.019"
"191","10","1,67,57/4","V<sup>7</sup>/IV","57/4","0.019"
"192","11","1,67,6","vi","6","0.019"
"193","12","1,67,5/5","V/V","5/5","0.015"
"194","13","1,67,26","ii<sup>6</sup>","26","0.015"
"195","14","1,67,2","ii","2","0.015"
"196","1","1,56,6","vi","6","0.515"
"197","2","1,56,46","IV<sup>6</sup>","46","0.098"
"198","3","1,56,67","vi<sup>7</sup>","67","0.084"
"199","4","1,56,4","IV","4","0.062"
"200","5","1,56,1","I","1","0.049"
"201","6","1,56,2","ii","2","0.028"
"202","7","1,56,5","V","5","0.026"
"203","8","1,56,b7","&#9837;VII","b7","0.022"
"204","9","1,56,5/5","V/V","5/5","0.012"
"205","10","1,56,27","ii<sup>7</sup>","27","0.009"
"206","11","1,56,M77","&#9837;VII<sup>7</sup>","M77","0.008"
"207","12","1,56,164","I<sup>6</sup><sub>4</sub>","164","0.007"
"208","13","1,56,66","vi<sup>6</sup>","66","0.007"
"209","14","1,56,L67","vi<sup>7</sup>","L67","0.005"
"210","15","1,56,M56","v<sup>6</sup>","M56","0.005"
"211","16","1,56,36","iii<sup>6</sup>","36","0.004"
"212","17","1,56,37","iii<sup>7</sup>","37","0.004"
"213","18","1,56,3","iii","3","0.004"
"214","19","1,56,243","ii<sup>4</sup><sub>3</sub>","243","0.002"
"215","20","1,56,Y56","v&deg;<sup>6</sup>","Y56","0.002"
"216","21","1,56,b165","i<sup>6</sup><sub>5</sub>","b165","0.002"
"217","22","1,56,L5","V","L5","0.002"
"218","23","1,56,M142","I<sup>4</sup><sub>2</sub>","M142","0.002"
"219","24","1,56,b56","v<sup>6</sup>","b56","0.002"
"220","25","1,56,b77","&#9837;VIIb7","b77","0.002"
"221","1","1,5/6,6","vi","6","0.584"
"222","2","1,5/6,4","IV","4","0.214"
"223","3","1,5/6,57/6","V<sup>7</sup>/vi","57/6","0.058"
"224","4","1,5/6,5/2","V/ii","5/2","0.051"
"225","5","1,5/6,17","I<sup>7</sup>","17","0.029"
"226","6","1,5/6,1","I","1","0.029"
"227","7","1,5/6,2","ii","2","0.019"
"228","8","1,5/6,56/6","V<sup>6</sup>/vi","56/6","0.005"
"229","1","1,b7,4","IV","4","0.328"
"230","2","1,b7,6","vi","6","0.145"
"231","3","1,b7,1","I","1","0.131"
"232","4","1,b7,5","V","5","0.11"
"233","5","1,b7,b6","&#9837;VI","b6","0.042"
"234","6","1,b7,46","IV<sup>6</sup>","46","0.037"
"235","7","1,b7,b3","&#9837;III","b3","0.035"
"236","8","1,b7,2","ii","2","0.031"
"237","9","1,b7,L7","vii","L7","0.026"
"238","10","1,b7,5/2","V/ii","5/2","0.021"
"239","11","1,b7,5/5","V/V","5/5","0.017"
"240","12","1,b7,M56","v<sup>6</sup>","M56","0.014"
"241","13","1,b7,D3","&#9837;III","D3","0.01"
"242","14","1,b7,5/6","V/vi","5/6","0.009"
"243","15","1,b7,67","vi<sup>7</sup>","67","0.007"
"244","16","1,b7,464/4","IV<sup>6</sup><sub>4</sub>/IV","464/4","0.007"
"245","17","1,b7,C6","&#9837;VI","C6","0.007"
"246","18","1,b7,7","vii&deg;","7","0.003"
"247","1","1,164,1","I","1","0.479"
"248","2","1,164,4","IV","4","0.178"
"249","3","1,164,5","V","5","0.059"
"250","4","1,164,142","I<sup>4</sup><sub>2</sub>","142","0.041"
"251","5","1,164,b6","&#9837;VI","b6","0.031"
"252","6","1,164,17","I<sup>7</sup>","17","0.031"
"253","7","1,164,56","V<sup>6</sup>","56","0.023"
"254","8","1,164,37","iii<sup>7</sup>","37","0.021"
"255","9","1,164,6","vi","6","0.021"
"256","10","1,164,464","IV<sup>6</sup><sub>4</sub>","464","0.018"
"257","11","1,164,16","I<sup>6</sup>","16","0.015"
"258","12","1,164,365","iii<sup>6</sup><sub>5</sub>","365","0.01"
"259","13","1,164,543/5","V<sup>4</sup><sub>3</sub>/V","543/5","0.01"
"260","14","1,164,564","V<sup>6</sup><sub>4</sub>","564","0.01"
"261","15","1,164,b5","v","b5","0.01"
"262","16","1,164,264","ii<sup>6</sup><sub>4</sub>","264","0.01"
"263","17","1,164,b46","iv<sup>6</sup>","b46","0.01"
"264","18","1,164,243","ii<sup>4</sup><sub>3</sub>","243","0.005"
"265","19","1,164,57/4","V<sup>7</sup>/IV","57/4","0.005"
"266","1","1,57,1","I","1","0.537"
"267","2","1,57,6","vi","6","0.148"
"268","3","1,57,67","vi<sup>7</sup>","67","0.088"
"269","4","1,57,642","vi<sup>4</sup><sub>2</sub>","642","0.074"
"270","5","1,57,b7","&#9837;VII","b7","0.069"
"271","6","1,57,4","IV","4","0.042"
"272","7","1,57,b4","iv","b4","0.019"
"273","8","1,57,M17","Ib7","M17","0.019"
