"L1","child_path","chord_HTML","chord_ID","probability"
"1","","","","",""
"2","1","b3,b6,b7","&#9837;VII","b7","0.317"
"3","2","b3,b6,4","IV","4","0.195"
"4","3","b3,b6,1","I","1","0.195"
"5","4","b3,b6,5","V","5","0.098"
"6","5","b3,b6,b3","&#9837;III","b3","0.073"
"7","6","b3,b6,L27","II<sup>7</sup>","L27","0.049"
"8","7","b3,b6,Y2","&#9837;II","Y2","0.049"
"9","8","b3,b6,b36","&#9837;III<sup>6</sup>","b36","0.024"
"10","1","1,4,1,4","IV","4","0.525"
"11","2","1,4,1,5","V","5","0.279"
"12","3","1,4,1,6","vi","6","0.051"
"13","4","1,4,1,2","ii","2","0.025"
"14","5","1,4,1,57","V<sup>7</sup>","57","0.021"
"15","6","1,4,1,b7","&#9837;VII","b7","0.013"
"16","7","1,4,1,3","iii","3","0.012"
"17","8","1,4,1,56","V<sup>6</sup>","56","0.009"
"18","9","1,4,1,57/5","V<sup>7</sup>/V","57/5","0.007"
"19","10","1,4,1,b6","&#9837;VI","b6","0.005"
"20","11","1,4,1,27","ii<sup>7</sup>","27","0.005"
"21","12","1,4,1,7/2","vii&deg;/ii","7/2","0.005"
"22","13","1,4,1,5/5","V/V","5/5","0.003"
"23","14","1,4,1,564","V<sup>6</sup><sub>4</sub>","564","0.003"
"24","15","1,4,1,b3","&#9837;III","b3","0.002"
"25","16","1,4,1,142","I<sup>4</sup><sub>2</sub>","142","0.002"
"26","17","1,4,1,L27","II<sup>7</sup>","L27","0.002"
"27","18","1,4,1,265","ii<sup>6</sup><sub>5</sub>","265","0.002"
"28","19","1,4,1,164","I<sup>6</sup><sub>4</sub>","164","0.002"
"29","20","1,4,1,26","ii<sup>6</sup>","26","0.002"
"30","21","1,4,1,57/4","V<sup>7</sup>/IV","57/4","0.002"
"31","22","1,4,1,16","I<sup>6</sup>","16","0.002"
"32","23","1,4,1,664","vi<sup>6</sup><sub>4</sub>","664","0.002"
"33","24","1,4,1,b4","iv","b4","0.002"
"34","25","1,4,1,464","IV<sup>6</sup><sub>4</sub>","464","0.002"
"35","26","1,4,1,67","vi<sup>7</sup>","67","0.002"
"36","27","1,4,1,5/6","V/vi","5/6","0.002"
"37","1","1,4,5,1","I","1","0.48"
"38","2","1,4,5,6","vi","6","0.279"
"39","3","1,4,5,4","IV","4","0.12"
"40","4","1,4,5,3","iii","3","0.041"
"41","5","1,4,5,2","ii","2","0.024"
"42","6","1,4,5,57","V<sup>7</sup>","57","0.011"
"43","7","1,4,5,5/6","V/vi","5/6","0.011"
"44","8","1,4,5,565/6","V<sup>6</sup><sub>5</sub>/vi","565/6","0.006"
"45","9","1,4,5,67","vi<sup>7</sup>","67","0.006"
"46","10","1,4,5,665","vi<sup>6</sup><sub>5</sub>","665","0.006"
"47","11","1,4,5,56/6","V<sup>6</sup>/vi","56/6","0.005"
"48","12","1,4,5,37","iii<sup>7</sup>","37","0.003"
"49","13","1,4,5,16","I<sup>6</sup>","16","0.003"
"50","14","1,4,5,464","IV<sup>6</sup><sub>4</sub>","464","0.003"
"51","15","1,4,5,b7","&#9837;VII","b7","0.003"
"52","1","1,4,6,5","V","5","0.478"
"53","2","1,4,6,1","I","1","0.169"
"54","3","1,4,6,4","IV","4","0.15"
"55","4","1,4,6,3","iii","3","0.028"
"56","5","1,4,6,5/5","V/V","5/5","0.025"
"57","6","1,4,6,b6","&#9837;VI","b6","0.021"
"58","7","1,4,6,56","V<sup>6</sup>","56","0.021"
"59","8","1,4,6,67","vi<sup>7</sup>","67","0.021"
"60","9","1,4,6,2","ii","2","0.014"
"61","10","1,4,6,464","IV<sup>6</sup><sub>4</sub>","464","0.009"
"62","11","1,4,6,26","ii<sup>6</sup>","26","0.007"
"63","12","1,4,6,264","ii<sup>6</sup><sub>4</sub>","264","0.007"
"64","13","1,4,6,77","vii<sup>ø</sup><sup>7</sup>","77","0.005"
"65","1","1,4,2,5","V","5","0.264"
"66","2","1,4,2,6","vi","6","0.247"
"67","3","1,4,2,1","I","1","0.11"
